0	1430	2530	100000	101	93
1	8180	13960	100000	97	92
2	5040	8850	100000	100	93
3	4740	7860	100000	99	92
4	3570	5820	100000	95	90
5	1430	2530	100000	101	93
6	8180	13960	100000	97	92
7	5040	8850	100000	100	93
8	4740	7860	100000	99	92
9	3570	5820	100000	95	90
10	8180	13960	100000	97	92
11	5040	8850	100000	100	93
12	4740	7860	100000	99	92
13	3570	5820	100000	95	90
14	4740	7860	100000	99	92
15	3570	5820	100000	95	90
16	4740	7860	100000	99	92
17	3570	2820	100000	95	90
18	4740	7860	100000	99	92
19	3570	1820	100000	95	90

srno ex1    ex2  34  dl     t1  t2 34
