0	14440	15792	16559	15468	100000	91	100	105	98
1	12479	13170	15753	14274	100000	94	99	119	107
2	19335	23031	22729	21002	100000	51	60	59	55
3	14897	14326	13436	13302	100000	75	72	67	67
4	16169	18363	17171	18607	100000	72	82	76	83
5	20424	18649	18260	19208	100000	76	69	68	71
6	16242	14863	12767	13901	100000	83	76	65	71
7	17600	19468	20814	21990	100000	65	72	77	81
8	16683	17634	16263	16449	100000	90	95	87	88
9	10925	10543	11395	10396	100000	47	45	49	44
10	13224	13086	15586	14082	100000	66	66	78	71
11	14574	14819	15274	15068	100000	63	65	67	66
12	16339	18070	17777	17268	100000	57	64	63	61
13	15682	17123	18013	20000	100000	64	70	74	82
14	17458	17023	16601	19208	100000	80	78	76	88
15	11078	10261	10652	11834	100000	65	60	62	69
16	11046	9784	10721	11316	100000	72	64	70	74
17	21202	17661	19149	20420	100000	50	42	45	48
18	16170	17810	18493	19495	100000	44	49	51	53
19	17125	16772	16170	16534	100000	65	63	61	63
