0	9424	9135	10627	10052	100000	56	54	63	60
1	11534	12508	13054	11323	100000	33	35	37	32
2	4958	5182	4493	4776	100000	59	62	54	57
3	9526	11582	9898	10620	100000	65	79	68	73
4	9337	9133	9697	9411	100000	56	54	58	56
5	6499	6717	6581	6290	100000	63	65	64	61
6	7568	8245	8497	7994	100000	55	60	62	59
7	10233	8394	9316	10010	100000	49	40	44	48
8	15510	13529	14889	17071	100000	54	47	52	60
9	15220	13111	12709	14091	100000	43	37	36	40
10	6381	6952	6531	5985	100000	60	66	62	57
11	14296	13850	15030	13639	100000	34	33	36	33
12	9227	9754	10561	11089	100000	32	34	37	38
13	8297	8984	9663	8087	100000	37	40	43	36
14	9751	10462	10249	9925	100000	32	34	34	32
15	8810	7774	9105	8293	100000	71	62	73	67
16	8153	8709	8597	9018	100000	51	55	54	57
17	11866	12486	10391	11296	100000	40	43	35	38
18	10696	11984	11511	11144	100000	63	71	68	66
19	12585	11571	10408	10975	100000	37	34	30	32
