0	10819	8417	9310	10024	100000	81	63	70	75
1	10887	9177	9545	9942	100000	105	89	92	96
2	6335	6128	6426	6993	100000	83	81	85	92
3	9773	9197	9565	9234	100000	91	86	89	86
4	11095	12353	11638	10794	100000	78	86	81	75
5	7909	8763	9471	9281	100000	62	69	74	73
6	11347	11051	10565	10796	100000	81	79	75	77
7	11624	11272	12092	12803	100000	79	77	82	87
8	10778	11515	12682	13829	100000	45	49	53	58
9	10946	10780	12718	11730	100000	77	76	90	83
10	5216	5423	5888	5327	100000	92	95	104	94
11	8274	8668	9112	9325	100000	69	73	76	78
12	12885	10530	12375	11459	100000	119	97	114	105
13	9413	11364	12390	10235	100000	77	93	102	84
14	10675	9647	9519	10071	100000	73	66	65	69
15	9979	11206	10770	11435	100000	67	76	73	77
16	11772	13209	12290	11638	100000	68	76	71	67
17	9388	9844	10533	11489	100000	75	79	84	92
18	7862	8483	8659	8818	100000	86	92	94	96
19	10550	8755	9225	10030	100000	77	64	67	73
